ProductID,forecast,past_forecast,previous_orders,sales,store_stock,dc_intake,dc_stock
485,0,0,0,3,0,0,1
184,0,0,0,2,106,0,1
189,0,0,0,2,106,0,1
198,0,0,0,2,106,0,1
239,0,0,0,2,0,0,1
240,0,0,0,2,0,0,1
244,0,0,0,2,0,0,1
258,0,0,0,2,0,0,1
261,0,0,0,2,0,0,1
264,0,0,0,2,0,0,1
266,0,0,0,2,0,0,1
273,0,0,0,2,0,0,1
295,0,0,0,2,0,0,1
298,0,0,0,2,0,0,1
336,0,0,0,2,0,0,1
361,0,0,0,2,0,0,1
366,0,0,0,2,0,0,1
449,0,0,0,2,0,0,1
481,0,0,0,2,0,0,1
502,0,0,0,2,0,0,1
504,0,0,0,2,0,0,1
192,0,0,0,1,106,0,1
195,0,0,0,1,106,0,1
418,0,0,0,1,2,0,1
595,0,0,0,1,0,5,1
599,0,0,0,1,0,4,1
571,0,0,0,1,0,3,1
572,0,0,0,1,0,3,1
537,0,0,0,1,0,1,1
539,0,0,0,1,0,1,1
540,0,0,0,1,0,1,1
241,0,0,0,1,0,0,1
242,0,0,0,1,0,0,1
263,0,0,0,1,0,0,1
270,0,0,0,1,0,0,1
272,0,0,0,1,0,0,1
352,0,0,0,1,0,0,1
358,0,0,0,1,0,0,1
359,0,0,0,1,0,0,1
360,0,0,0,1,0,0,1
426,0,0,0,1,0,0,1
448,0,0,0,1,0,0,1
505,0,0,0,1,0,0,1
541,0,0,0,1,0,0,1
568,0,0,0,1,0,0,1
788,0,0,0,0,159,9,1
791,0,0,0,0,159,9,1
794,0,0,0,0,159,9,1
797,0,0,0,0,159,9,1
800,0,0,0,0,159,9,1
907,0,0,0,0,159,9,1
908,0,0,0,0,159,9,1
910,0,0,0,0,159,9,1
911,0,0,0,0,159,9,1
913,0,0,0,0,159,9,1
914,0,0,0,0,159,9,1
916,0,0,0,0,159,9,1
917,0,0,0,0,159,9,1
920,0,0,0,0,159,9,1
937,0,0,0,0,159,9,1
938,0,0,0,0,159,9,1
940,0,0,0,0,159,9,1
941,0,0,0,0,159,9,1
943,0,0,0,0,159,9,1
944,0,0,0,0,159,9,1
946,0,0,0,0,159,9,1
947,0,0,0,0,159,9,1
950,0,0,0,0,159,9,1
848,0,0,0,0,159,8,1
851,0,0,0,0,159,8,1
854,0,0,0,0,159,8,1
857,0,0,0,0,159,8,1
860,0,0,0,0,159,8,1
878,0,0,0,0,159,8,1
881,0,0,0,0,159,8,1
884,0,0,0,0,159,8,1
887,0,0,0,0,159,8,1
890,0,0,0,0,159,8,1
967,0,0,0,0,159,8,1
968,0,0,0,0,159,8,1
970,0,0,0,0,159,8,1
971,0,0,0,0,159,8,1
973,0,0,0,0,159,8,1
974,0,0,0,0,159,8,1
976,0,0,0,0,159,8,1
977,0,0,0,0,159,8,1
980,0,0,0,0,159,8,1
997,0,0,0,0,159,7,1
998,0,0,0,0,159,7,1
1000,0,0,0,0,159,7,1
1001,0,0,0,0,159,7,1
1003,0,0,0,0,159,7,1
1004,0,0,0,0,159,7,1
1006,0,0,0,0,159,7,1
1007,0,0,0,0,159,7,1
1010,0,0,0,0,159,7,1
818,0,0,0,0,159,6,1
821,0,0,0,0,159,6,1
824,0,0,0,0,159,6,1
827,0,0,0,0,159,6,1
830,0,0,0,0,159,6,1
785,0,0,0,0,150,9,1
845,0,0,0,0,150,8,1
875,0,0,0,0,150,7,1
815,0,0,0,0,150,6,1
905,0,0,0,0,118,9,1
912,0,0,0,0,118,9,1
915,0,0,0,0,118,9,1
918,0,0,0,0,118,9,1
935,0,0,0,0,118,9,1
942,0,0,0,0,118,9,1
945,0,0,0,0,118,9,1
909,0,0,0,0,118,8,1
939,0,0,0,0,118,8,1
948,0,0,0,0,118,8,1
975,0,0,0,0,118,8,1
972,0,0,0,0,118,7,1
1002,0,0,0,0,118,7,1
1005,0,0,0,0,118,7,1
1008,0,0,0,0,118,7,1
978,0,0,0,0,118,6,1
969,0,0,0,0,118,5,1
999,0,0,0,0,118,5,1
181,0,0,0,0,106,0,1
183,0,0,0,0,106,0,1
186,0,0,0,0,106,0,1
201,0,0,0,0,106,0,1
204,0,0,0,0,106,0,1
205,0,0,0,0,106,0,1
207,0,0,0,0,106,0,1
208,0,0,0,0,106,0,1
209,0,0,0,0,106,0,1
210,0,0,0,0,106,0,1
904,0,0,0,0,37,9,1
919,0,0,0,0,37,9,1
921,0,0,0,0,37,9,1
923,0,0,0,0,37,9,1
934,0,0,0,0,37,9,1
949,0,0,0,0,37,9,1
951,0,0,0,0,37,9,1
953,0,0,0,0,37,9,1
964,0,0,0,0,37,8,1
965,0,0,0,0,37,8,1
979,0,0,0,0,37,8,1
983,0,0,0,0,37,8,1
981,0,0,0,0,37,7,1
994,0,0,0,0,37,7,1
995,0,0,0,0,37,7,1
1009,0,0,0,0,37,7,1
1011,0,0,0,0,37,7,1
1013,0,0,0,0,37,7,1
727,0,0,0,0,37,5,1
728,0,0,0,0,37,5,1
730,0,0,0,0,37,5,1
731,0,0,0,0,37,5,1
732,0,0,0,0,37,5,1
733,0,0,0,0,37,5,1
734,0,0,0,0,37,5,1
735,0,0,0,0,37,5,1
736,0,0,0,0,37,5,1
737,0,0,0,0,37,5,1
738,0,0,0,0,37,5,1
739,0,0,0,0,37,5,1
740,0,0,0,0,37,5,1
743,0,0,0,0,37,5,1
757,0,0,0,0,37,5,1
758,0,0,0,0,37,5,1
760,0,0,0,0,37,5,1
761,0,0,0,0,37,5,1
762,0,0,0,0,37,5,1
763,0,0,0,0,37,5,1
764,0,0,0,0,37,5,1
765,0,0,0,0,37,5,1
766,0,0,0,0,37,5,1
767,0,0,0,0,37,5,1
768,0,0,0,0,37,5,1
769,0,0,0,0,37,5,1
770,0,0,0,0,37,5,1
773,0,0,0,0,37,5,1
724,0,0,0,0,37,4,1
725,0,0,0,0,37,4,1
729,0,0,0,0,37,4,1
754,0,0,0,0,37,4,1
755,0,0,0,0,37,4,1
759,0,0,0,0,37,4,1
741,0,0,0,0,37,2,1
771,0,0,0,0,37,2,1
393,0,0,0,0,2,0,1
396,0,0,0,0,2,0,1
411,0,0,0,0,2,0,1
414,0,0,0,0,2,0,1
417,0,0,0,0,2,0,1
